source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[phenotype]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[developmental stage]	assay name	comment[file uri]	comment[fraction identifier]	comment[Label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	Material Type	comment[data file]	factor value[organism part]
PXD010154-V296	homo sapiens	stomach	not available	not available	not available	normal	V296	not available	not available	not available	run 1584	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01087_A01_P010739_S00_N01_R1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	organism part	01087_A01_P010739_S00_N01_R1.raw	stomach
PXD010154-V296	homo sapiens	stomach	not available	not available	not available	normal	V296	not available	not available	not available	run 1579	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01087_B01_P010739_S00_N02_R1.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	organism part	01087_B01_P010739_S00_N02_R1.raw	stomach
PXD010154-V296	homo sapiens	stomach	not available	not available	not available	normal	V296	not available	not available	not available	run 1574	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01087_C01_P010739_S00_N03_R1.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	organism part	01087_C01_P010739_S00_N03_R1.raw	stomach
PXD010154-V296	homo sapiens	stomach	not available	not available	not available	normal	V296	not available	not available	not available	run 1569	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01087_D01_P010739_S00_N04_R1.raw	4	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	organism part	01087_D01_P010739_S00_N04_R1.raw	stomach
PXD010154-V296	homo sapiens	stomach	not available	not available	not available	normal	V296	not available	not available	not available	run 1564	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01087_E01_P010739_S00_N05_R1.raw	5	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	organism part	01087_E01_P010739_S00_N05_R1.raw	stomach
PXD010154-V296	homo sapiens	stomach	not available	not available	not available	normal	V296	not available	not available	not available	run 1560	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01087_F01_P010739_S00_N06_R1.raw	6	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	organism part	01087_F01_P010739_S00_N06_R1.raw	stomach
PXD010154-V296	homo sapiens	stomach	not available	not available	not available	normal	V296	not available	not available	not available	run 1556	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01087_G01_P010739_S00_N07_R1.raw	7	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	organism part	01087_G01_P010739_S00_N07_R1.raw	stomach
PXD010154-V296	homo sapiens	stomach	not available	not available	not available	normal	V296	not available	not available	not available	run 1552	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01087_H01_P010739_S00_N08_R1.raw	8	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	organism part	01087_H01_P010739_S00_N08_R1.raw	stomach
PXD010154-V296	homo sapiens	stomach	not available	not available	not available	normal	V296	not available	not available	not available	run 1583	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01087_A02_P010739_S00_N09_R1.raw	9	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	organism part	01087_A02_P010739_S00_N09_R1.raw	stomach
PXD010154-V296	homo sapiens	stomach	not available	not available	not available	normal	V296	not available	not available	not available	run 1578	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010154/01087_B02_P010739_S00_N10_R1.raw	10	AC=MS:1002038;NT=label free sample	AC=MS:1002526;NT=Q Exactive Plus	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	organism part	01087_B02_P010739_S00_N10_R1.raw	stomach
