source name	characteristics[organism]	characteristics[organism part]	characteristics[phenotype]	characteristics[age]	characteristics[cell type]	characteristics[ancestry category]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	characteristics[developmental stage]	assay name	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[data file]	Material Type	Factor Value [organism part]
PXD004682-Sample 3	Homo sapiens	lung	lung tumor-adjacent tissues	not available	not available	white	male	control	not available	1	not available	run 49	AC=MS:1002038;NT=label free sample	AC=MS:1002634;NT=Q Exactive Plus	1	1	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	10 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004682/20150912_Haura-Pilot_N0296_bRPLC01-1.raw	20150912_Haura-Pilot_N0296_bRPLC01-1.raw	tissue	lung
PXD004682-Sample 3	Homo sapiens	lung	lung tumor-adjacent tissues	not available	not available	white	male	control	not available	1	not available	run 50	AC=MS:1002038;NT=label free sample	AC=MS:1002634;NT=Q Exactive Plus	1	2	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	10 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004682/20150912_Haura-Pilot_N0296_bRPLC01-2.raw	20150912_Haura-Pilot_N0296_bRPLC01-2.raw	tissue	lung
PXD004682-Sample 3	Homo sapiens	lung	lung tumor-adjacent tissues	not available	not available	white	male	control	not available	1	not available	run 51	AC=MS:1002038;NT=label free sample	AC=MS:1002634;NT=Q Exactive Plus	2	1	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	10 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004682/20150912_Haura-Pilot_N0296_bRPLC02-1.raw	20150912_Haura-Pilot_N0296_bRPLC02-1.raw	tissue	lung
PXD004682-Sample 3	Homo sapiens	lung	lung tumor-adjacent tissues	not available	not available	white	male	control	not available	1	not available	run 52	AC=MS:1002038;NT=label free sample	AC=MS:1002634;NT=Q Exactive Plus	2	2	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	10 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004682/20150912_Haura-Pilot_N0296_bRPLC02-2.raw	20150912_Haura-Pilot_N0296_bRPLC02-2.raw	tissue	lung
PXD004682-Sample 3	Homo sapiens	lung	lung tumor-adjacent tissues	not available	not available	white	male	control	not available	1	not available	run 53	AC=MS:1002038;NT=label free sample	AC=MS:1002634;NT=Q Exactive Plus	3	1	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	10 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004682/20150912_Haura-Pilot_N0296_bRPLC03-1.raw	20150912_Haura-Pilot_N0296_bRPLC03-1.raw	tissue	lung
PXD004682-Sample 3	Homo sapiens	lung	lung tumor-adjacent tissues	not available	not available	white	male	control	not available	1	not available	run 54	AC=MS:1002038;NT=label free sample	AC=MS:1002634;NT=Q Exactive Plus	3	2	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	10 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004682/20150912_Haura-Pilot_N0296_bRPLC03-2.raw	20150912_Haura-Pilot_N0296_bRPLC03-2.raw	tissue	lung
PXD004682-Sample 3	Homo sapiens	lung	lung tumor-adjacent tissues	not available	not available	white	male	control	not available	1	not available	run 55	AC=MS:1002038;NT=label free sample	AC=MS:1002634;NT=Q Exactive Plus	4	1	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	10 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004682/20150912_Haura-Pilot_N0296_bRPLC04-1.raw	20150912_Haura-Pilot_N0296_bRPLC04-1.raw	tissue	lung
PXD004682-Sample 3	Homo sapiens	lung	lung tumor-adjacent tissues	not available	not available	white	male	control	not available	1	not available	run 56	AC=MS:1002038;NT=label free sample	AC=MS:1002634;NT=Q Exactive Plus	4	2	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	10 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004682/20150912_Haura-Pilot_N0296_bRPLC04-2.raw	20150912_Haura-Pilot_N0296_bRPLC04-2.raw	tissue	lung
PXD004682-Sample 3	Homo sapiens	lung	lung tumor-adjacent tissues	not available	not available	white	male	control	not available	1	not available	run 57	AC=MS:1002038;NT=label free sample	AC=MS:1002634;NT=Q Exactive Plus	5	1	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	10 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004682/20150912_Haura-Pilot_N0296_bRPLC05-1.raw	20150912_Haura-Pilot_N0296_bRPLC05-1.raw	tissue	lung
PXD004682-Sample 3	Homo sapiens	lung	lung tumor-adjacent tissues	not available	not available	white	male	control	not available	1	not available	run 58	AC=MS:1002038;NT=label free sample	AC=MS:1002634;NT=Q Exactive Plus	5	2	AC=MS:1001251;NT=Trypsin	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Variable;TA=C	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	10 ppm	0.05 Da	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD004682/20150912_Haura-Pilot_N0296_bRPLC05-2.raw	20150912_Haura-Pilot_N0296_bRPLC05-2.raw	tissue	lung
