source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	Material Type	technology type	assay name	comment[technical replicate]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[disease]
PXD010611-Sample-1	Homo sapiens	Primary Prostate Tissue	not available	not available	not available	cancer-associated fibroblasts	1	P1	cell	proteomic profiling by mass spectrometry	run1	1	20160204_CAF_105_1_DDA.raw                                     	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160204_CAF_105_1_DDA.raw                                     	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=cysteine;AC=UNIMOD:4	NT=Oxidation;MT=Fixed;TA=methionine;AC=UNIMOD:35	NT=Acetyl;MT=fixed;TA=Protein N-term;AC=UNIMOD:1	4.5 ppm	20 ppm	cancer-associated fibroblasts
PXD010611-Sample-2	Homo sapiens	Primary Prostate Tissue	not available	not available	not available	cancer-associated fibroblasts	2	P1	cell	proteomic profiling by mass spectrometry	run1	1	20160204_CAF_105_2_DDA.raw                                     	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160204_CAF_105_2_DDA.raw                                     	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=cysteine;AC=UNIMOD:4	NT=Oxidation;MT=Fixed;TA=methionine;AC=UNIMOD:35	NT=Acetyl;MT=fixed;TA=Protein N-term;AC=UNIMOD:1	4.5 ppm	20 ppm	cancer-associated fibroblasts
PXD010611-Sample-3	Homo sapiens	Primary Prostate Tissue	not available	not available	not available	cancer-associated fibroblasts	3	P1	cell	proteomic profiling by mass spectrometry	run1	1	20160204_CAF_105_3_DDA.raw                     	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160204_CAF_105_3_DDA.raw                     	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=cysteine;AC=UNIMOD:4	NT=Oxidation;MT=Fixed;TA=methionine;AC=UNIMOD:35	NT=Acetyl;MT=fixed;TA=Protein N-term;AC=UNIMOD:1	4.5 ppm	20 ppm	cancer-associated fibroblasts
PXD010611-Sample-4	Homo sapiens	Primary Prostate Tissue	not available	not available	not available	cancer-associated fibroblasts	1	P2	cell	proteomic profiling by mass spectrometry	run1	1	20160204_CAF_107_1_DDA.raw                 	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160204_CAF_107_1_DDA.raw                 	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=cysteine;AC=UNIMOD:4	NT=Oxidation;MT=Fixed;TA=methionine;AC=UNIMOD:35	NT=Acetyl;MT=fixed;TA=Protein N-term;AC=UNIMOD:1	4.5 ppm	20 ppm	cancer-associated fibroblasts
PXD010611-Sample-5	Homo sapiens	Primary Prostate Tissue	not available	not available	not available	cancer-associated fibroblasts	2	P2	cell	proteomic profiling by mass spectrometry	run1	1	20160204_CAF_107_2_DDA.raw                 	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160204_CAF_107_2_DDA.raw                 	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=cysteine;AC=UNIMOD:4	NT=Oxidation;MT=Fixed;TA=methionine;AC=UNIMOD:35	NT=Acetyl;MT=fixed;TA=Protein N-term;AC=UNIMOD:1	4.5 ppm	20 ppm	cancer-associated fibroblasts
PXD010611-Sample-6	Homo sapiens	Primary Prostate Tissue	not available	not available	not available	cancer-associated fibroblasts	1	P3	cell	proteomic profiling by mass spectrometry	run1	1	20160204_CAF_76_1_DDA.raw                         	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160204_CAF_76_1_DDA.raw                         	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=cysteine;AC=UNIMOD:4	NT=Oxidation;MT=Fixed;TA=methionine;AC=UNIMOD:35	NT=Acetyl;MT=fixed;TA=Protein N-term;AC=UNIMOD:1	4.5 ppm	20 ppm	cancer-associated fibroblasts
PXD010611-Sample-7	Homo sapiens	Primary Prostate Tissue	not available	not available	not available	cancer-associated fibroblasts	2	P3	cell	proteomic profiling by mass spectrometry	run1	1	20160204_CAF_76_2_DDA.raw                         	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160204_CAF_76_2_DDA.raw                         	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=cysteine;AC=UNIMOD:4	NT=Oxidation;MT=Fixed;TA=methionine;AC=UNIMOD:35	NT=Acetyl;MT=fixed;TA=Protein N-term;AC=UNIMOD:1	4.5 ppm	20 ppm	cancer-associated fibroblasts
PXD010611-Sample-8	Homo sapiens	Primary Prostate Tissue	not available	not available	not available	cancer-associated fibroblasts	3	P3	cell	proteomic profiling by mass spectrometry	run1	1	20160204_CAF_76_3_DDA.raw                        	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160204_CAF_76_3_DDA.raw                        	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=cysteine;AC=UNIMOD:4	NT=Oxidation;MT=Fixed;TA=methionine;AC=UNIMOD:35	NT=Acetyl;MT=fixed;TA=Protein N-term;AC=UNIMOD:1	4.5 ppm	20 ppm	cancer-associated fibroblasts
PXD010611-Sample-9	Homo sapiens	Primary Prostate Tissue	not available	not available	not available	non-malignant prostate fibroblasts	1	P1	cell	proteomic profiling by mass spectrometry	run1	1	20160204_NPF_105_1_DDA.raw                        	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160204_NPF_105_1_DDA.raw                        	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=cysteine;AC=UNIMOD:4	NT=Oxidation;MT=Fixed;TA=methionine;AC=UNIMOD:35	NT=Acetyl;MT=fixed;TA=Protein N-term;AC=UNIMOD:1	4.5 ppm	20 ppm	non-malignant prostate fibroblasts
PXD010611-Sample-10	Homo sapiens	Primary Prostate Tissue	not available	not available	not available	non-malignant prostate fibroblasts	2	P1	cell	proteomic profiling by mass spectrometry	run1	1	20160204_NPF_105_2_DDA.raw                         	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160204_NPF_105_2_DDA.raw                         	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=cysteine;AC=UNIMOD:4	NT=Oxidation;MT=Fixed;TA=methionine;AC=UNIMOD:35	NT=Acetyl;MT=fixed;TA=Protein N-term;AC=UNIMOD:1	4.5 ppm	20 ppm	non-malignant prostate fibroblasts
PXD010611-Sample-11	Homo sapiens	Primary Prostate Tissue	not available	not available	not available	non-malignant prostate fibroblasts	3	P1	cell	proteomic profiling by mass spectrometry	run1	1	20160204_NPF_105_3_DDA.raw                        	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160204_NPF_105_3_DDA.raw                        	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=cysteine;AC=UNIMOD:4	NT=Oxidation;MT=Fixed;TA=methionine;AC=UNIMOD:35	NT=Acetyl;MT=fixed;TA=Protein N-term;AC=UNIMOD:1	4.5 ppm	20 ppm	non-malignant prostate fibroblasts
PXD010611-Sample-12	Homo sapiens	Primary Prostate Tissue	not available	not available	not available	non-malignant prostate fibroblasts	1	P2	cell	proteomic profiling by mass spectrometry	run1	1	20160204_NPF_107_1_DDA_repeat.raw                  	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160204_NPF_107_1_DDA_repeat.raw                  	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=cysteine;AC=UNIMOD:4	NT=Oxidation;MT=Fixed;TA=methionine;AC=UNIMOD:35	NT=Acetyl;MT=fixed;TA=Protein N-term;AC=UNIMOD:1	4.5 ppm	20 ppm	non-malignant prostate fibroblasts
PXD010611-Sample-13	Homo sapiens	Primary Prostate Tissue	not available	not available	not available	non-malignant prostate fibroblasts	2	P2	cell	proteomic profiling by mass spectrometry	run1	1	20160204_NPF_107_2_DDA_repeat.raw                  	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160204_NPF_107_2_DDA_repeat.raw                  	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=cysteine;AC=UNIMOD:4	NT=Oxidation;MT=Fixed;TA=methionine;AC=UNIMOD:35	NT=Acetyl;MT=fixed;TA=Protein N-term;AC=UNIMOD:1	4.5 ppm	20 ppm	non-malignant prostate fibroblasts
PXD010611-Sample-14	Homo sapiens	Primary Prostate Tissue	not available	not available	not available	non-malignant prostate fibroblasts	3	P2	cell	proteomic profiling by mass spectrometry	run1	1	20160204_NPF_107_3_DDA_repeat.raw                  	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160204_NPF_107_3_DDA_repeat.raw                  	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=cysteine;AC=UNIMOD:4	NT=Oxidation;MT=Fixed;TA=methionine;AC=UNIMOD:35	NT=Acetyl;MT=fixed;TA=Protein N-term;AC=UNIMOD:1	4.5 ppm	20 ppm	non-malignant prostate fibroblasts
PXD010611-Sample-15	Homo sapiens	Primary Prostate Tissue	not available	not available	not available	non-malignant prostate fibroblasts	1	P3	cell	proteomic profiling by mass spectrometry	run1	1	20160204_NPF_76_1_DDA.raw                         	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160204_NPF_76_1_DDA.raw                         	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=cysteine;AC=UNIMOD:4	NT=Oxidation;MT=Fixed;TA=methionine;AC=UNIMOD:35	NT=Acetyl;MT=fixed;TA=Protein N-term;AC=UNIMOD:1	4.5 ppm	20 ppm	non-malignant prostate fibroblasts
PXD010611-Sample-16	Homo sapiens	Primary Prostate Tissue	not available	not available	not available	non-malignant prostate fibroblasts	2	P3	cell	proteomic profiling by mass spectrometry	run1	1	20160204_NPF_76_2_DDA.raw                          	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD010611/20160204_NPF_76_2_DDA.raw                          	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=cysteine;AC=UNIMOD:4	NT=Oxidation;MT=Fixed;TA=methionine;AC=UNIMOD:35	NT=Acetyl;MT=fixed;TA=Protein N-term;AC=UNIMOD:1	4.5 ppm	20 ppm	non-malignant prostate fibroblasts
